timestamp,LPhalanx1,LPhalanx2,LPhalanx3,LPhalanx4,LPhalanx5,LPhalanx6,LPhalanx7,LPhalanx8
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.06,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
